"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"314550-1","PreservedSpecimen",12.556667,-0.186667,"Scleria achtenii",2004,"207144","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd6ef36f-3345-4c9e-9188-161de0668127","",""
"314550-1","PreservedSpecimen",11.616667,-0.116667,"Scleria achtenii",1986,"11356","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd6ef36f-3345-4c9e-9188-161de0668127","",""
"314550-1","PreservedSpecimen",0.443611,6.4775,"Scleria achtenii",2012,"WAG.1586138","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",0.443611,6.4775,"Scleria achtenii",2012,"WAG.1953524","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-1.834444,9.388611,"Scleria achtenii",2011,"WAG.1586136","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",0.18,7,"Scleria achtenii",1970,"1144703","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/97e31e98-b7db-485d-82ce-8fc7f3c37552","",""
"314550-1","PreservedSpecimen",-2.22,8.1,"Scleria achtenii",1996,"23866","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/97e31e98-b7db-485d-82ce-8fc7f3c37552","",""
"314550-1","PreservedSpecimen",-2.56,6.19,"Scleria achtenii",1970,"1144704","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/97e31e98-b7db-485d-82ce-8fc7f3c37552","",""
"314550-1","HumanObservation",-2.933333,6.316667,"Scleria achtenii",1970,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/480d9ab0-c682-4cd6-ba78-38cf9ef91087","",""
"314550-1","PreservedSpecimen",0.9,6.141833,"Scleria achtenii",1965,"L.1398496","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","HumanObservation",-2.366667,8.166667,"Scleria achtenii",1996,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/480d9ab0-c682-4cd6-ba78-38cf9ef91087","",""
"314550-1","HumanObservation",0.3,7,"Scleria achtenii",1970,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/480d9ab0-c682-4cd6-ba78-38cf9ef91087","",""
"314550-1","PreservedSpecimen",-1.834444,9.388611,"Scleria achtenii",2011,"WAG.1586137","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",0.9,6.141833,"Scleria achtenii",1965,"L.1398497","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","HumanObservation",-2.36667,8.16667,"Scleria achtenii",1996,NA,"WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/480d9ab0-c682-4cd6-ba78-38cf9ef91087","",""
"314550-1","PreservedSpecimen",-8.370333,7.659333,"Scleria achtenii",2011,"100427314","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"314550-1","PreservedSpecimen",-8.376944,7.65175,"Scleria achtenii",NA,"MA-01-00922772","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/834c9918-f762-11e1-a439-00145eb45e9a","",""
"314550-1","PreservedSpecimen",-8.370333,7.659333,"Scleria achtenii",2011,"WAG.1776498","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-8.422067,7.696483,"Scleria achtenii",2012,"100504235","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"314550-1","PreservedSpecimen",-8.367667,7.6625,"Scleria achtenii",2016,"WAG.1965623","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-4.366667,5.333333,"Scleria achtenii",1967,"WAG.1777172","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-4.366667,5.333333,"Scleria achtenii",1967,"WAG.1777173","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
