kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Dryopteridaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,Duckeodendraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,Ebenaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,RESTIONALES,Ecdeiocoleaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Echinodiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,Elaeagnaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,Elaeocarpaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Elatinaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,Emblingiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,Empetraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,Epacridaceae
PLANTAE,TRACHEOPHYTA,GNETOPSIDA,EPHEDRALES,Ephedraceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,EQUISETALES,Equisetaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Eremolepidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Eremosynaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,Ericaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Eriocaulaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Eriospermaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LINALES,Erythroxylaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Escalloniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUCOMMIALES,Eucommiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Eucryphiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,Euphorbiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,Euphroniaceae
